web-scraper-order,web-scraper-start-url,tarih,link,link-href,intro
"1600195418-492","https://www.hurriyet.com.tr/arama/#/?page=201&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","8.3.2015","Memur Sen İl Başkanı Duman’dan Kadınlar Günü Mesajı","",""
"1600195656-1567","https://www.hurriyet.com.tr/arama/#/?page=94&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","8.3.2018","Avukat Onat: Kadına şiddette failler değişiyor, özne hiç değişmiyor","","Avukat Onat: Kadına şiddette failler değişiyor, özne hiç değişmiyor"
"1600195791-2178","https://www.hurriyet.com.tr/arama/#/?page=33&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","17.12.2013","Devlete göre bir kağıt azaldı bize göre ise bir insan öldü","","İZMİR’de, 36 yaşındaki V.A.’nın, Dokuz Eylül Üniversitesi’nde öğretim görevlisi olan eski eşi 38 yaşındaki Serpil Erfındık’ı oğullarının gözü önünde bıçaklayarak öldürmesi, Baro’nun Kadın Hakları Danışma ve Hukuk Araştırmaları Merkezi üyelerinin protestosuna neden oldu."
"1600195480-779","https://www.hurriyet.com.tr/arama/#/?page=173&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","30.4.2018","40 yıllık eşini kafasına çekiçle vurarak öldürdü","","Çorum’da Ali Bicil (64), 40 yıllık eşi Hanife Bicil’i (64) başına çekiçle vurarak öldürdü."
"1600195848-2431","https://www.hurriyet.com.tr/arama/#/?page=7&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","7.8.2020","Kızı için sağlık raporu istedi! Öğretim görevlisi, doktorlara dehşeti yaşattı","","Eskişehir'de Aile Sağlığı Merkezi’ne avukatlık stajı yapmak isteyen kızına sağlık rapor almak için giden öğretim görevlisi D.K., raporu hastanenin vermesi gerektiğini söyleyen Dr. Ezgi Çalıkuşu’na (31) saldırırken, araya giren Aytekin Aykın’a (50) da tekme attı. Merkezin güvenlik kamerasına yansıyan olay sonrası 2 doktor da D.K. ve yanındaki eşi ile kızından şikayetçi oldu, 15 günlüğüne de koruma kararı aldırdı."
"1600195480-774","https://www.hurriyet.com.tr/arama/#/?page=173&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","8.3.2018","Kartal'daki 'Sevgi Yürüşü'ne yağmur muhalefeti","","Kartal'daki 'Sevgi Yürüşü'ne yağmur muhalefeti"
"1600195469-728","https://www.hurriyet.com.tr/arama/#/?page=178&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","12.7.2018","Kadın Kuruluşları Birliği'nden eğitime destek","","Kadın Kuruluşları Birliği'nden eğitime destek"
"1600195569-1180","https://www.hurriyet.com.tr/arama/#/?page=133&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","25.11.2017","Barodan 'Şiddete birlikte direneceğiz' semineri","","Barodan 'Şiddete birlikte direneceğiz' semineri"
"1600195509-906","https://www.hurriyet.com.tr/arama/#/?page=160&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","30.9.2016","Sacide 32 yıl sonra sahnede","","'Evde kalmış’ diye yaftalanan bir kadının yaşadıklarını ve kadınların sorunların anlatan ‘Sacide’ isimli tiyatro oyunu, 32 yıl aradan sonra yeniden Devlet Tiyatrosu’nda (DT) sanatseverlerle buluşacak."
"1600195551-1097","https://www.hurriyet.com.tr/arama/#/?page=141&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","19.4.2018","KKTC'de infial uyandıran cinayet! Benzin döktü diri diri yaktı","","İZMİR’de yaşayan 37 yaşındaki Gamze Pehlivan, birlikte yaşadığı Suat Aşır’dan kaçıyordu. Bir kadın arkadaşıyla KKTC’ye geldi, Suat da peşinden… Suat Aşır, 4 aylık hamile kadını Lefkoşa’da bir üniversite bahçesinde yakaladı, 36 kez bıçakladı, üzerine benzin döktü ve diri diri yaktı. KKTC’de infial uyandıran cinayet davası dün sonuçlandı ve mahkeme heyeti oy birliğiyle yasaların öngördüğü en yüksek cezayı, müebbet hapsi verdi."
"1600195493-837","https://www.hurriyet.com.tr/arama/#/?page=167&key=kad%C4%B1na%20%C5%9Fiddet&where=/&how=Article&platform=/&isDetail=false","1.11.2017","Seren Serengil'e de 'zorlama hapsi' istendi","","İstanbul Cumhuriyet Başsavcılığı, Gülben Ergen'in şikayeti üzerine Seren Serengil hakkında ""zorlama hapsi kararı"" verilmesini istedi."
